id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,atl_change_percentage
bitcoin,btc,Bitcoin,93338.0,1852876932578,1,1964352535880.0,67781309799.0,95098.0,91251.0,-586.5743573137734,-0.62451,-6677983886.829346,-0.35912,19808265.0,21000000.0,21000000.0,-13.23019,138271.42909
ethereum,eth,Ethereum,3236.01,390058144497,2,390058144497.0,31373146978.0,3316.16,3160.58,-57.78378551688911,-1.75432,-6937931373.65155,-1.74761,120474184.901484,120474184.901484,,-33.42755,749954.53679
tether,usdt,Tether,0.999831,137422542116,3,137422542116.0,56808042128.0,0.999975,0.999644,6.086e-05,0.00609,-158640274.63146973,-0.11531,137446161140.6056,137446161140.6056,,-24.43251,74.63637
ripple,xrp,XRP,2.27,130635480038,4,227363408318.0,4950864816.0,2.32,2.25,-0.03222503677281674,-1.39905,-1668122023.1925812,-1.26083,57449049415.0,99986708632.0,100000000000.0,-32.79083,84929.56994
binancecoin,bnb,BNB,689.54,100653775478,5,100653775478.0,871487158.0,698.92,674.29,-3.484765240683487,-0.50283,-327879489.2910309,-0.32469,145887575.79,145887575.79,200000000.0,-12.17809,1739773.4408
solana,sol,Solana,185.48,89791326096,6,109860946607.0,4736435996.0,192.76,182.42,-5.592122171073612,-2.9267,-2652582083.690613,-2.8694,483741629.4361965,591864667.0408174,,-29.11223,37156.6452
dogecoin,doge,Dogecoin,0.325364,48113685104,7,48118328452.0,3620352096.0,0.337923,0.314828,-0.004059964526810345,-1.23244,-592347856.0988693,-1.21617,147552746383.7052,147566986383.7052,,-55.19135,377110.67489
usd-coin,usdc,USDC,1.0,45496070015,8,45536799415.0,9048176889.0,1.0,0.999859,6.925e-05,0.00693,155154837.0,0.3422,45496010766.15369,45536740112.78355,,-14.72754,13.94055
cardano,ada,Cardano,0.920322,33063329737,9,41487541137.0,1328612636.0,0.970241,0.886466,-0.000557977168887835,-0.06059,-25450711.75133133,-0.07692,35862569759.2298,45000000000.0,45000000000.0,-69.92247,4722.51519
staked-ether,steth,Lido Staked Ether,3231.93,31106984044,10,31106984044.0,52165041.0,3313.95,3165.7,-61.9000519188362,-1.87927,-582173695.4364548,-1.83714,9605592.885831786,9605592.885831786,,-32.93662,570.71834
tron,trx,TRON,0.239361,20637786834,11,20637861929.0,1031213994.0,0.245441,0.236864,-0.004747528118419747,-1.94484,-382613636.8433647,-1.8202,86176750008.30637,86177063577.22333,,-44.29935,13214.0201
sui,sui,Sui,4.95,14904806942,12,49524716829.0,2389892732.0,5.13,4.62,0.154649,3.22745,517782506.0,3.59895,3009569341.533888,10000000000.0,10000000000.0,-7.23144,1259.45832
avalanche-2,avax,Avalanche,36.24,14903775683,13,16294778064.0,451779009.0,37.79,35.65,-0.7300919771745598,-1.97504,-315805008.66656494,-2.07499,410749288.9784198,449085429.5061135,720000000.0,-74.88793,1199.60484
wrapped-steth,wsteth,Wrapped stETH,3842.71,13539511013,14,13539511013.0,58482534.0,3949.92,3793.0,-101.96028413342992,-2.58476,-369518189.15636253,-2.65668,3519666.385474939,3519666.385474939,,-46.92272,589.52949
the-open-network,ton,Toncoin,5.22,13272571768,15,26753277309.0,227034370.0,5.3,5.12,-0.016996650560548332,-0.32471,-24848352.850078583,-0.18687,2539858213.532217,5119545202.097095,,-36.76205,904.96255
chainlink,link,Chainlink,19.84,12530613882,16,19855196374.0,892180657.0,20.46,19.22,-0.1592570259331687,-0.79613,-89371499.77259827,-0.70817,631099972.3083414,1000000000.0,1000000000.0,-62.11557,13372.38286
shiba-inu,shib,Shiba Inu,2.117e-05,12478245972,17,12483607081.0,510155929.0,2.176e-05,2.084e-05,-4.40618693689e-07,-2.03914,-265457887.95201874,-2.08305,589255272477672.9,589508438007697.2,,-75.32813,37712060.46223
wrapped-bitcoin,wbtc,Wrapped Bitcoin,93417.0,12315702972,18,12315702972.0,446393640.0,94952.0,91108.0,-431.5560448059405,-0.45984,-75207741.75860214,-0.60696,131830.43002371,131830.43002371,131830.43002371,-12.93247,2885.63369
stellar,xlm,Stellar,0.401386,12194083819,19,20073008708.0,594242833.0,0.412839,0.388065,-0.005229074123634381,-1.286,-146066221.181633,-1.18367,30375415536.08013,50001786899.90237,50001786899.90237,-53.9402,84601.277
hedera-hashgraph,hbar,Hedera,0.269548,10315876043,20,13482453830.0,551656328.0,0.284318,0.263601,-0.005170709651397709,-1.88218,-217472111.97021866,-2.06461,38256671126.6172,50000000000.0,50000000000.0,-52.37773,2648.97806
polkadot,dot,Polkadot,6.57,10005696533,21,10005696533.0,331794705.0,6.8,6.47,-0.168089909950071,-2.49365,-279326335.0094986,-2.71586,1522267060.0,1522267060.0,,-87.97859,145.02645
weth,weth,WETH,3239.38,9826078267,22,9826078267.0,992198793.0,3319.2,3155.91,-52.497470527365294,-1.59476,-45769034.38747978,-0.46363,3033102.93452697,3033102.93452697,,-32.29805,3857.96147
